sample_id	121-Si8-C	123-Si8-C	125-Si8-C	126-Si8-C	127-Si8-C	128-Si8-C	129-Si8-C	130-Si8-C	131-Si8-C	132-Si8-C	133-Si8-C	134-Si8-C	135-Si8-C	136-Si8-C	137-Si8-C	138-Si8-C	386-Si8-C	387-Si8-C	388-Si8-C	389-Si8-C	390-Si8-C	391-Si8-C	392-Si8-C	393-Si8-C	394-Si8-C	395-Si8-C	396-Si8-C	397-Si8-C	49-Si8-C	50-Si8-C	51-Si8-C	52-Si8-C	54-Si8-C	55-Si8-C	56-Si8-C	57-Si8-C	58-Si8-C	59-Si8-C	60-Si8-C	61-Si8-C	62-Si8-C	63-Si8-C	64-Si8-C
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.225394491	0.101936159	0.094823454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.001381693	0.006189451	0.007089405	0.04468599	0.006688963	0.003907776	0.017452007	0.011219947	0.001989201	0.065095398	0	0.002699784	0.003071364	0.024977538	0.001272588	0	0	0.07698633	0.049365961	0.011428917	0.007000443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.44E-05	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0	0	0	0	0.00064317	0.000651296	0	0.007658059	0.000994601	0	0.00154321	0.004859611	0.00234869	0	0	0.002022472	0.000187213	0.00113064	0	0	0	0	0.05235357	0.04829932	0.029237897	0.064222624	0.035413153	0	8.97E-05	0.000115961	0.000188109	0.000218151	0.000114337	0.003925161	0.002065627	0	6.57E-05	7.13E-05	1.71E-05	0.019936395	0.013856989	0.003910628	0.000884765
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Enterorhabdus	0.007426598	0	0	0	0.007332133	0.007815553	0	0.013357079	0.0190395	0	0.016534392	0.018898488	0.019150858	0	0.003435989	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01093307	0.005334206	0.001649568	0.009840396	0.000246264	0.02685221	0.012361485	0	0.001369743	0.000362633	0	0.025519622	0.031033246	0.033131215	0.009963225
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	0	0.000941873	0.000590784	0	0	0.000651296	0	0.011932324	0.022023302	0.000481	0	0	0.013188799	0	0	0.002247191	0	0	0	0	0	0	0.040318267	0.039508111	0.0106247	0.023358519	0.005902192	0	0	6.82E-05	0.000130229	0.000330175	8.80E-05	0.004485899	0.007122109	0	9.86E-05	0	0	0.008880051	0.008569052	0.004978235	0.001054025
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-006	0	0	0	0	0	0	0	0.005164737	0.019181586	0	0.002645503	0	0.019512195	0	0.000890812	0.003595506	0	0	0	0	0	0	0.02915218	0.019413919	0.007708899	0.055017559	0	0	0	0	0	0	0	0.002092893	0.003765465	0	0	0	0	0.018388378	0.008714032	0.00514339	0.001165582
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_NK4A136_group	0	0	0	0	0	0	0	0	0	0	0.00154321	0.00161987	0	0.044564241	0.002799695	0.000898876	0.000187213	0.004522561	0	0	0	0	0.01410805	0.047723705	0.013660329	0.022986059	0	0.003404045	0.000103468	0	0	7.08E-05	0.000659636	0.004027832	0.012565896	0	0	0	0	0.010609427	0.0035024	0.00120327	3.85E-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03017476	0.0362428	0.026984259	0.001270393	0	0	0.018250505	0.009274874	0.017562901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae_UCG-002	0	0	0	0	0	0	0	0.000890472	0.00440466	0	0.011243386	0.013768898	0.003974706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000213833	0.002946774	0	0.001851339	0	0.014018433	0.002894029	0.001352607	0.007254159	0.002199579	0.007871689	0.012468343	0.006562231	0.016185162	0.011394236
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0.000518135	0	0	0	0	0	0	0.005342832	0	0	0	0	0	0	0	0	0	0.101140919	0	0.001935055	0	0	0	0	0	0	0	0	0	0.000129603	0	0	0	0.00065551	0.000344271	0	0	0	0	0.000323853	6.87E-05	5.31E-05	0.000173106
