OTU_ID	121-Si8-C_S25	121-Si8-MAB_S59	122-Si8-MAB_S60	123-Si8-C_S27	123-Si8-MAB_S61	124-Si8-MAB_S62	125-Si8-C_S29	125-Si8-MAB_S63	126-Si8-C_S30	126-Si8-MAB_S64	127-Si8-C_S31	127-Si8-MAB_S65	128-Si8-C_S32	128-Si8-MAB_S66	129-Si8-C_S33	129-Si8-MAB_S67	130-Si8-C_S34	130-Si8-MAB_S68	131-Si8-C_S35	131-Si8-MAB_S69	132-Si8-C_S36	132-Si8-MAB_S70	133-Si8-C_S37	133-Si8-MAB_S71	134-Si8-C_S38	134-Si8-MAB_S72	135-Si8-C_S39	135-Si8-MAB_S73	136-Si8-C_S40	136-Si8-MAB_S74	137-Si8-C_S41	137-Si8-MAB_S75	138-Si8-C_S42	138-Si8-MAB_S76	386-Si8-content_S13	386-Si8-MAB_S1	387-Si8-content_S14	387-Si8-MAB_S2	388-Si8-content_S15	388-Si8-MAB_S3	389-Si8-content_S16	389-Si8-MAB_S4	390-Si8-content_S17	390-Si8-MAB_S5	391-Si8-content_S18	391-Si8-MAB_S6	392-Si8-content_S19	392-Si8-MAB_S7	393-Si8-content_S20	393-Si8-MAB_S8	394-Si8-content_S21	394-Si8-MAB_S9	395-Si8-content_S22	395-Si8-MAB_S10	396-Si8-content_S23	396-Si8-MAB_S11	397-Si8-content_S24	397-Si8-MAB_S12	49-Si8-C_S16	49-Si8-MAB_S18	50-Si8-C_S17	50-Si8-MAB_S19	51-Si8-C_S18	51-Si8-MAB_S20	52-Si8-C_S19	52-Si8-MAB_S21	53-Si8-MAB_S22	54-Si8-C_S21	54-Si8-MAB_S23	55-Si8-C_S22	55-Si8-MAB_S24	56-Si8-C_S23	56-Si8-MAB_S25	57-Si8-C_S25	57-Si8-MAB_S26	58-Si8-C_S26	58-Si8-MAB_S27	59-Si8-C_S27	59-Si8-MAB_S28	60-Si8-C_S28	60-Si8-MAB_S29	61-Si8-C_S29	61-Si8-MAB_S30	62-Si8-C_S30	62-Si8-MAB_S31	63-Si8-C_S31	63-Si8-MAB_S32	64-Si8-C_S32	64-Si8-MAB_S33
Genus_012	0	27	362	0	27	0	0	14	0	0	23	190	0	45	0	0	13	186	15	116	0	222	0	158	0	50	11	71	0	0	0	0	0	356	0	0	21	0	0	11	10	5	0	0	0	0	448	16	116	0	39	0	181	145	0	16	0	0	32	0	41	0	8	0	0	0	222	0	20	448	52	94	147	0	119	0	166	0	7	0	45	863	121	567	208	413	57	304	110
Genus_013	0	0	4544	7	221	15	3	29	0	5	0	81	5	137	0	0	67	568	155	790	3	774	0	496	0	10	73	501	0	5	0	29	8	3429	0	0	0	6	0	102	0	0	0	15	0	0	603	365	755	8	266	32	433	94	7	14	0	0	0	0	10	0	9	81	51	3	1244	10	407	568	151	662	422	0	34	18	177	0	27	0	72	1371	98	1123	6021	844	1655	274	45
Genus_014	8	80	1372	46	218	851	36	200	37	433	52	254	30	285	110	432	63	62	14	0	406	333	0	328	10	5	17	48	139	662	10	48	0	26	0	0	749	0	1164	0	189	204	79	0	0	0	0	19	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	40	0	187	0	171	0	0	0	17	0	55	0	111	0	0	0	0	0	0
Genus_015	0	15	107	0	6	0	0	0	0	0	0	4	0	0	0	0	0	319	0	18	0	533	0	80	0	59	0	19	0	0	0	11	0	2533	0	0	0	8	0	52	0	0	0	112	0	0	17	0	19	0	0	0	0	0	14	0	0	0	0	0	0	0	0	6	0	0	259	0	35	27	6	9	30	0	33	0	9	0	0	0	22	75	0	17	377	53	52	0	3
Genus_016	7	259	9	2	490	0	21	0	0	0	42	1007	512	3757	0	5	1923	3738	2884	24746	163	2789	317	9942	137	410	1183	8392	304	2105	230	2124	453	6257	34	0	0	0	0	0	0	0	0	0	0	0	1518	1276	27	0	25	0	0	0	0	0	0	39	981	78	463	124	252	219	3561	204	4130	151	376	53785	7043	24233	7382	176	166	297	5904	123	76	37	211	32391	953	13618	3404	16508	447	18310	6199
Genus_017	0	6	1077	0	49	0	0	0	0	32	0	0	0	0	0	0	9	184	0	55	0	340	0	433	8	197	0	51	0	8	0	0	0	903	0	0	0	0	0	0	0	0	0	193	0	0	229	18	30	0	32	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	661	9	128	0	9	0	20	5	68	0	0	0	15	2	276	250	27	197	1071	131	1579	33	18
Genus_018	0	0	12	0	60	0	0	0	0	9	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1147	208	730	240	238	180	782	89	1192	553	126	152	55	10	49	0	276	351	601	611	508	1494	133	1691	532	218	57	1011	29	1248	722
Genus_019	43	75	81	0	37	0	0	0	0	0	57	8	60	77	0	0	75	0	134	172	0	50	75	738	70	47	106	354	0	33	27	98	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1585	322	782	223	114	77	1669	56	346	28	0	3400	226	1149	204	0	0	250	120	61	23	0	10	3940	19	4067	303	5617	23	2590	349
Genus_020	0	0	204	0	0	0	0	3	0	13	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	123	0	0	41	0	0	230	0	0	0	162	0	0	0	0	0	0	8	0	109	0	27	0	0	0	10	0	0	0	0	35	433	22	93	0	27	18	0	5	24	0	49	0	16	0	3	0	41	78	37	51	144	4	56	17	5
Genus_021	0	0	0	0	189	2	0	0	0	0	0	0	0	8	0	0	82	413	0	19	0	625	0	167	0	212	7	37	0	0	0	10	0	442	0	0	0	12	0	0	0	0	0	0	0	0	0	14	40	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	105	535	252	0	550	352	0	130	7	225	0	64	0	197	1298	220	1232	4504	3172	2878	658	256
